time,position_car_1,velocity_car_1,position_car_2,velocity_car_2
0.0,0.0,22.658593018304714,50.0,0.0
0.01,0.22658593018304715,22.658593018304714,50.0,0.0
0.02,0.4531718603660943,22.658593018304714,50.0,0.0
0.03,0.6797577905491414,22.658593018304714,50.0,0.0
0.04,0.9063437207321886,22.658593018304714,50.0,0.0
0.05,1.1329296509152358,22.658593018304714,50.0,0.0
0.06,1.3595155810982829,22.658593018304714,50.0,0.0
0.07,1.58610151128133,22.658593018304714,50.0,0.0
0.08,1.812687441464377,22.658593018304714,50.0,0.0
0.09,2.039273371647424,22.658593018304714,50.0,0.0
0.1,2.265859301830471,22.658593018304714,50.0,0.0
0.11,2.492445232013518,22.658593018304714,50.0,0.0
0.12,2.7190311621965653,22.658593018304714,50.0,0.0
0.13,2.9456170923796123,22.658593018304714,50.0,0.0
0.14,3.1722030225626594,22.658593018304714,50.0,0.0
0.15,3.3987889527457065,22.658593018304714,50.0,0.0
0.16,3.6253748829287535,22.658593018304714,50.0,0.0
0.17,3.8519608131118006,22.658593018304714,50.0,0.0
0.18,4.078546743294848,22.658593018304714,50.0,0.0
0.19,4.305132673477895,22.658593018304714,50.0,0.0
0.2,4.531718603660942,22.658593018304714,50.0,0.0
0.21,4.758304533843989,22.658593018304714,50.0,0.0
0.22,4.984890464027036,22.658593018304714,50.0,0.0
0.23,5.2114763942100835,22.658593018304714,50.0,0.0
0.24,5.4380623243931305,22.658593018304714,50.0,0.0
0.25,5.664648254576178,22.658593018304714,50.0,0.0
0.26,5.891234184759225,22.658593018304714,50.0,0.0
0.27,6.117820114942272,22.658593018304714,50.0,0.0
0.28,6.344406045125319,22.658593018304714,50.0,0.0
0.29,6.570991975308366,22.658593018304714,50.0,0.0
0.3,6.797577905491413,22.658593018304714,50.0,0.0
0.31,7.02416383567446,22.658593018304714,50.0,0.0
0.32,7.250749765857507,22.658593018304714,50.0,0.0
0.33,7.477335696040554,22.658593018304714,50.0,0.0
0.34,7.703921626223601,22.658593018304714,50.0,0.0
0.35000000000000003,7.930507556406648,22.658593018304714,50.0,0.0
0.36,8.157093486589696,22.658593018304714,50.0,0.0
0.37,8.383679416772743,22.658593018304714,50.0,0.0
0.38,8.61026534695579,22.658593018304714,50.0,0.0
0.39,8.836851277138837,22.658593018304714,50.0,0.0
0.4,9.063437207321885,22.658593018304714,50.0,0.0
0.41000000000000003,9.290023137504932,22.658593018304714,50.0,0.0
0.42,9.516609067687979,22.658593018304714,50.0,0.0
0.43,9.743194997871026,22.658593018304714,50.0,0.0
0.44,9.969780928054073,22.658593018304714,50.0,0.0
0.45,10.19636685823712,22.658593018304714,50.0,0.0
0.46,10.422952788420167,22.658593018304714,50.0,0.0
0.47000000000000003,10.649538718603214,22.658593018304714,50.0,0.0
0.48,10.876124648786261,22.658593018304714,50.0,0.0
0.49,11.102710578969308,22.658593018304714,50.0,0.0
0.5,11.329296509152355,22.658593018304714,50.0,0.0
0.51,11.555882439335402,22.658593018304714,50.0,0.0
0.52,11.78246836951845,22.658593018304714,50.0,0.0
0.53,12.009054299701496,22.658593018304714,50.0,0.0
0.54,12.235640229884543,22.658593018304714,50.0,0.0
0.55,12.46222616006759,22.658593018304714,50.0,0.0
0.56,12.688812090250638,22.658593018304714,50.0,0.0
0.5700000000000001,12.915398020433685,22.658593018304714,50.0,0.0
0.58,13.141983950616732,22.658593018304714,50.0,0.0
0.59,13.368569880799779,22.658593018304714,50.0,0.0
0.6,13.595155810982826,22.658593018304714,50.0,0.0
0.61,13.821741741165873,22.658593018304714,50.0,0.0
0.62,14.04832767134892,22.658593018304714,50.0,0.0
0.63,14.274913601531967,22.658593018304714,50.0,0.0
0.64,14.501499531715014,22.658593018304714,50.0,0.0
0.65,14.728085461898061,22.658593018304714,50.0,0.0
0.66,14.954671392081108,22.658593018304714,50.0,0.0
0.67,15.181257322264155,22.658593018304714,50.0,0.0
0.68,15.407843252447202,22.658593018304714,50.0,0.0
0.6900000000000001,15.63442918263025,22.658593018304714,50.0,0.0
0.7000000000000001,15.861015112813297,22.658593018304714,50.0,0.0
0.71,16.087601042996344,22.658593018304714,50.0,0.0
0.72,16.314186973179392,22.658593018304714,50.0,0.0
0.73,16.54077290336244,22.658593018304714,50.0,0.0
0.74,16.76735883354549,22.658593018304714,50.0,0.0
0.75,16.99394476372854,22.658593018304714,50.0,0.0
0.76,17.220530693911588,22.658593018304714,50.0,0.0
0.77,17.447116624094637,22.658593018304714,50.0,0.0
0.78,17.673702554277686,22.658593018304714,50.0,0.0
0.79,17.900288484460734,22.658593018304714,50.0,0.0
0.8,18.126874414643783,22.658593018304714,50.0,0.0
0.81,18.353460344826832,22.658593018304714,50.0,0.0
0.8200000000000001,18.58004627500988,22.658593018304714,50.0,0.0
0.8300000000000001,18.80663220519293,22.658593018304714,50.0,0.0
0.84,19.03321813537598,22.658593018304714,50.0,0.0
0.85,19.259804065559027,22.658593018304714,50.0,0.0
0.86,19.486389995742076,22.658593018304714,50.0,0.0
0.87,19.712975925925125,22.658593018304714,50.0,0.0
0.88,19.939561856108174,22.658593018304714,50.0,0.0
0.89,20.166147786291223,22.658593018304714,50.0,0.0
0.9,20.39273371647427,22.658593018304714,50.0,0.0
0.91,20.61931964665732,22.658593018304714,50.0,0.0
0.92,20.84590557684037,22.658593018304714,50.0,0.0
0.93,21.072491507023418,22.658593018304714,50.0,0.0
0.9400000000000001,21.299077437206467,22.658593018304714,50.0,0.0
0.9500000000000001,21.525663367389516,22.658593018304714,50.0,0.0
0.96,21.752249297572565,22.658593018304714,50.0,0.0
0.97,21.978835227755614,22.658593018304714,50.0,0.0
0.98,22.205421157938662,22.658593018304714,50.0,0.0
0.99,22.43200708812171,22.658593018304714,50.0,0.0
1.0,22.65859301830476,22.658593018304714,50.0,0.0
1.01,22.88517894848781,22.658593018304714,50.0,0.0
1.02,23.111764878670858,22.658593018304714,50.0,0.0
1.03,23.338350808853907,22.658593018304714,50.0,0.0
1.04,23.564936739036956,22.658593018304714,50.0,0.0
1.05,23.791522669220004,22.658593018304714,50.0,0.0
1.06,24.018108599403053,22.658593018304714,50.0,0.0
